,file,f1_score,precision,recall,model_type,instructed,model_configurations,model_size,quantization,fine_tuning,maxNewTokensFactor,nShotsInference,model,training_params_string,bnb_4bit_compute_dtype,r,lora_alpha,lora_dropout,gradient_accumulation_steps,learning_rate
10,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference2_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_64_32_0.01_8_0.0002.csv,0.3233885819521178,0.4219125420470927,0.2621678112869513,zefiro,instructed,4bit_FT,7,4bit,FT,4,2,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_64_32_0.01_8_0.0002.csv,torch.bfloat16,64.0,32.0,0.01,8.0,0.0002
11,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_64_0.01_4_0.0002.csv,0.2119284294234592,0.3115137346580947,0.160590539319072,zefiro,instructed,4bit_FT,7,4bit,FT,4,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_64_0.01_4_0.0002.csv,torch.bfloat16,16.0,64.0,0.01,4.0,0.0002
12,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference4_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_64_64_0.01_2_0.0002.csv,0.3960871803672559,0.4702526487367563,0.3421286688407945,zefiro,instructed,4bit_FT,7,4bit,FT,4,4,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_64_64_0.01_2_0.0002.csv,torch.bfloat16,64.0,64.0,0.01,2.0,0.0002
13,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference2_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_64_64_0.01_8_0.0002.csv,0.3518387553041018,0.4331737048323901,0.2962191128311998,zefiro,instructed,4bit_FT,7,4bit,FT,4,2,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_64_64_0.01_8_0.0002.csv,torch.bfloat16,64.0,64.0,0.01,8.0,0.0002
14,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_32_0.01_4_0.0002.csv,0.4245682632779406,0.4783406754772393,0.3816637375512595,zefiro,instructed,4bit_FT,7,4bit,FT,4,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_32_0.01_4_0.0002.csv,torch.bfloat16,16.0,32.0,0.01,4.0,0.0002
15,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference4_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_64_32_0.01_2_0.0002.csv,0.4281394238421136,0.4727592267135325,0.3912158231529959,zefiro,instructed,4bit_FT,7,4bit,FT,4,4,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_64_32_0.01_2_0.0002.csv,torch.bfloat16,64.0,32.0,0.01,2.0,0.0002
16,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference4_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_64_32_0.01_4_0.0002.csv,0.439958127710483,0.4465695203400121,0.4335396404361921,zefiro,instructed,4bit_FT,7,4bit,FT,8,4,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_64_32_0.01_4_0.0002.csv,torch.bfloat16,64.0,32.0,0.01,4.0,0.0002
17,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_32_0.01_2_0.0002.csv,0.4892336498595693,0.4656313645621181,0.5153564384333615,zefiro,instructed,4bit_FT,7,4bit,FT,8,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_32_0.01_2_0.0002.csv,torch.bfloat16,16.0,32.0,0.01,2.0,0.0002
18,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference2_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_32_32_0.01_8_0.0002.csv,0.3330218650719492,0.4504550050556117,0.2641565372072339,zefiro,instructed,4bit_FT,7,4bit,FT,4,2,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_32_32_0.01_8_0.0002.csv,torch.bfloat16,32.0,32.0,0.01,8.0,0.0002
19,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference4_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_32_64_0.01_2_0.0002.csv,0.4219816819317236,0.4865591397849462,0.3725374889738312,zefiro,instructed,4bit_FT,7,4bit,FT,4,4,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_32_64_0.01_2_0.0002.csv,torch.bfloat16,32.0,64.0,0.01,2.0,0.0002
20,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference4_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_32_64_0.01_4_0.0002.csv,0.367160079352968,0.3772342427093132,0.3576099881093936,zefiro,instructed,4bit_FT,7,4bit,FT,8,4,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_32_64_0.01_4_0.0002.csv,torch.bfloat16,32.0,64.0,0.01,4.0,0.0002
21,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference2_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_32_0.01_4_0.0002.csv,0.4158224794983116,0.4572135785007072,0.3813034503096432,zefiro,instructed,4bit_FT,7,4bit,FT,8,2,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_32_0.01_4_0.0002.csv,torch.bfloat16,16.0,32.0,0.01,4.0,0.0002
22,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_64_64_0.01_8_0.0002.csv,0.4225276925130121,0.4069408740359897,0.4393560921454343,zefiro,instructed,4bit_FT,7,4bit,FT,8,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_64_64_0.01_8_0.0002.csv,torch.bfloat16,64.0,64.0,0.01,8.0,0.0002
23,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference4_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_64_0.01_8_0.0002.csv,0.385755665360368,0.4579288025889967,0.3332352075360612,zefiro,instructed,4bit_FT,7,4bit,FT,4,4,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_64_0.01_8_0.0002.csv,torch.bfloat16,16.0,64.0,0.01,8.0,0.0002
24,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference2_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_32_0.01_2_0.0002.csv,0.4134757600657354,0.4695782008212019,0.3693482090428655,zefiro,instructed,4bit_FT,7,4bit,FT,4,2,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_32_0.01_2_0.0002.csv,torch.bfloat16,16.0,32.0,0.01,2.0,0.0002
25,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_32_32_0.01_8_0.0002.csv,0.3930530164533821,0.413992297817715,0.3741299303944315,zefiro,instructed,4bit_FT,7,4bit,FT,8,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_32_32_0.01_8_0.0002.csv,torch.bfloat16,32.0,32.0,0.01,8.0,0.0002
26,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference4_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_32_64_0.01_8_0.0002.csv,0.3430211697165411,0.4300494826810616,0.2852879737391823,zefiro,instructed,4bit_FT,7,4bit,FT,4,4,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_32_64_0.01_8_0.0002.csv,torch.bfloat16,32.0,64.0,0.01,8.0,0.0002
27,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference2_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_32_32_0.01_2_0.0002.csv,0.4268142681426815,0.4521172638436482,0.4041933605125218,zefiro,instructed,4bit_FT,7,4bit,FT,4,2,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_32_32_0.01_2_0.0002.csv,torch.bfloat16,32.0,32.0,0.01,2.0,0.0002
28,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference2_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_32_32_0.01_4_0.0002.csv,0.3811320754716981,0.4516260162601626,0.329673590504451,zefiro,instructed,4bit_FT,7,4bit,FT,8,2,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_32_32_0.01_4_0.0002.csv,torch.bfloat16,32.0,32.0,0.01,4.0,0.0002
29,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference4_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_64_32_0.01_8_0.0002.csv,0.3637884872824631,0.4242779078844653,0.3183948447568834,zefiro,instructed,4bit_FT,7,4bit,FT,4,4,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_64_32_0.01_8_0.0002.csv,torch.bfloat16,64.0,32.0,0.01,8.0,0.0002
30,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference2_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_64_64_0.01_2_0.0002.csv,0.3645284390332546,0.4691300280636108,0.2980683506686478,zefiro,instructed,4bit_FT,7,4bit,FT,4,2,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_64_64_0.01_2_0.0002.csv,torch.bfloat16,64.0,64.0,0.01,2.0,0.0002
31,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference2_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_64_64_0.01_4_0.0002.csv,0.3668017409575266,0.3715415019762846,0.3621813870776526,zefiro,instructed,4bit_FT,7,4bit,FT,8,2,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_64_64_0.01_4_0.0002.csv,torch.bfloat16,64.0,64.0,0.01,4.0,0.0002
32,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_32_0.01_8_0.0002.csv,0.4073301549463647,0.4163874505025891,0.3986585010207057,zefiro,instructed,4bit_FT,7,4bit,FT,8,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_32_0.01_8_0.0002.csv,torch.bfloat16,16.0,32.0,0.01,8.0,0.0002
33,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_32_32_0.01_2_0.0002.csv,0.5061825835306498,0.4805194805194805,0.5347415230683713,zefiro,instructed,4bit_FT,7,4bit,FT,8,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_32_32_0.01_2_0.0002.csv,torch.bfloat16,32.0,32.0,0.01,2.0,0.0002
34,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_32_32_0.01_4_0.0002.csv,0.413745467104127,0.496271748135874,0.3547527391175599,zefiro,instructed,4bit_FT,7,4bit,FT,4,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_32_32_0.01_4_0.0002.csv,torch.bfloat16,32.0,32.0,0.01,4.0,0.0002
35,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference4_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_64_0.01_4_0.0002.csv,0.1535172118879623,0.2639705882352941,0.1082303286101899,zefiro,instructed,4bit_FT,7,4bit,FT,8,4,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_64_0.01_4_0.0002.csv,torch.bfloat16,16.0,64.0,0.01,4.0,0.0002
36,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_64_64_0.01_2_0.0002.csv,0.4249757986447241,0.4766558089033659,0.3834061135371179,zefiro,instructed,4bit_FT,7,4bit,FT,8,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_64_64_0.01_2_0.0002.csv,torch.bfloat16,64.0,64.0,0.01,2.0,0.0002
37,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference2_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_32_0.01_8_0.0002.csv,0.3338718362950996,0.4233045061447428,0.2756372258446947,zefiro,instructed,4bit_FT,7,4bit,FT,4,2,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_32_0.01_8_0.0002.csv,torch.bfloat16,16.0,32.0,0.01,8.0,0.0002
38,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_64_64_0.01_4_0.0002.csv,0.420371599203716,0.4834032811903853,0.3718814206046375,zefiro,instructed,4bit_FT,7,4bit,FT,4,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_64_64_0.01_4_0.0002.csv,torch.bfloat16,64.0,64.0,0.01,4.0,0.0002
39,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference4_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_64_0.01_2_0.0002.csv,0.4130915524104379,0.4203420342034203,0.4060869565217391,zefiro,instructed,4bit_FT,7,4bit,FT,4,4,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_64_0.01_2_0.0002.csv,torch.bfloat16,16.0,64.0,0.01,2.0,0.0002
40,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference2_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_64_0.01_8_0.0002.csv,0.3864648263579696,0.4898419864559819,0.3191176470588235,zefiro,instructed,4bit_FT,7,4bit,FT,4,2,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_64_0.01_8_0.0002.csv,torch.bfloat16,16.0,64.0,0.01,8.0,0.0002
41,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_64_32_0.01_4_0.0002.csv,0.4271457085828343,0.4897025171624714,0.3787610619469027,zefiro,instructed,4bit_FT,7,4bit,FT,4,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_64_32_0.01_4_0.0002.csv,torch.bfloat16,64.0,32.0,0.01,4.0,0.0002
42,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference4_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_32_0.01_2_0.0002.csv,0.4085160877221066,0.4534470504619758,0.3716865715117972,zefiro,instructed,4bit_FT,7,4bit,FT,4,4,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_32_0.01_2_0.0002.csv,torch.bfloat16,16.0,32.0,0.01,2.0,0.0002
43,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference4_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_32_0.01_4_0.0002.csv,0.4409983754246049,0.4423703703703703,0.4396348645465253,zefiro,instructed,4bit_FT,7,4bit,FT,8,4,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_32_0.01_4_0.0002.csv,torch.bfloat16,16.0,32.0,0.01,4.0,0.0002
44,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_64_32_0.01_2_0.0002.csv,0.4637280641149647,0.4630242825607064,0.4644339883753113,zefiro,instructed,4bit_FT,7,4bit,FT,8,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_64_32_0.01_2_0.0002.csv,torch.bfloat16,64.0,32.0,0.01,2.0,0.0002
45,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_32_64_0.01_4_0.0002.csv,0.3744592490050181,0.4485903814262023,0.3213543213543213,zefiro,instructed,4bit_FT,7,4bit,FT,4,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_32_64_0.01_4_0.0002.csv,torch.bfloat16,32.0,64.0,0.01,4.0,0.0002
46,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_32_64_0.01_2_0.0002.csv,0.4324237041821411,0.4970304380103935,0.3826807659331237,zefiro,instructed,4bit_FT,7,4bit,FT,8,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_32_64_0.01_2_0.0002.csv,torch.bfloat16,32.0,64.0,0.01,2.0,0.0002
47,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference2_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_64_32_0.01_4_0.0002.csv,0.4081165112092947,0.4542805100182149,0.3704693998811645,zefiro,instructed,4bit_FT,7,4bit,FT,8,2,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_64_32_0.01_4_0.0002.csv,torch.bfloat16,64.0,32.0,0.01,4.0,0.0002
48,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_64_0.01_8_0.0002.csv,0.4348051948051948,0.403470715835141,0.4714165023936919,zefiro,instructed,4bit_FT,7,4bit,FT,8,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_64_0.01_8_0.0002.csv,torch.bfloat16,16.0,64.0,0.01,8.0,0.0002
49,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference4_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_64_64_0.01_8_0.0002.csv,0.3899850771016415,0.4446124763705104,0.3473124630832841,zefiro,instructed,4bit_FT,7,4bit,FT,4,4,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_64_64_0.01_8_0.0002.csv,torch.bfloat16,64.0,64.0,0.01,8.0,0.0002
50,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference2_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_64_32_0.01_2_0.0002.csv,0.4150627615062761,0.4860838886711093,0.3621495327102804,zefiro,instructed,4bit_FT,7,4bit,FT,4,2,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_64_32_0.01_2_0.0002.csv,torch.bfloat16,64.0,32.0,0.01,2.0,0.0002
51,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference2_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_32_64_0.01_4_0.0002.csv,0.353515625,0.3907880532565671,0.3227340267459138,zefiro,instructed,4bit_FT,7,4bit,FT,8,2,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_32_64_0.01_4_0.0002.csv,torch.bfloat16,32.0,64.0,0.01,4.0,0.0002
52,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference4_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_32_32_0.01_8_0.0002.csv,0.3670437278406213,0.4328952608522501,0.3185814771395076,zefiro,instructed,4bit_FT,7,4bit,FT,4,4,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_32_32_0.01_8_0.0002.csv,torch.bfloat16,32.0,32.0,0.01,8.0,0.0002
53,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference2_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_32_64_0.01_2_0.0002.csv,0.3822093653950461,0.4900324524802967,0.3132780082987552,zefiro,instructed,4bit_FT,7,4bit,FT,4,2,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_32_64_0.01_2_0.0002.csv,torch.bfloat16,32.0,64.0,0.01,2.0,0.0002
54,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_64_64_0.01_4_0.0002.csv,0.4497324697268375,0.4397026431718062,0.4602305475504323,zefiro,instructed,4bit_FT,7,4bit,FT,8,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_64_64_0.01_4_0.0002.csv,torch.bfloat16,64.0,64.0,0.01,4.0,0.0002
55,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference4_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_64_0.01_2_0.0002.csv,0.4037048223094735,0.3144111651246667,0.5638357705286839,zefiro,instructed,4bit_FT,7,4bit,FT,8,4,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_64_0.01_2_0.0002.csv,torch.bfloat16,16.0,64.0,0.01,2.0,0.0002
56,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference2_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_32_0.01_8_0.0002.csv,0.313115763546798,0.3259615384615384,0.3012440758293839,zefiro,instructed,4bit_FT,7,4bit,FT,8,2,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_32_0.01_8_0.0002.csv,torch.bfloat16,16.0,32.0,0.01,8.0,0.0002
57,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference4_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_16_64_0.01_4_0.0002.csv,0.1572470373746581,0.3270142180094786,0.1035103510351035,zefiro,instructed,4bit_FT,7,4bit,FT,4,4,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_16_64_0.01_4_0.0002.csv,torch.bfloat16,16.0,64.0,0.01,4.0,0.0002
58,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_64_64_0.01_2_0.0002.csv,0.4248354385340687,0.5354260089686098,0.3521085225597169,zefiro,instructed,4bit_FT,7,4bit,FT,4,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_64_64_0.01_2_0.0002.csv,torch.bfloat16,64.0,64.0,0.01,2.0,0.0002
59,data/zefiro/4bit_FT/maxNewTokensFactor8_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_32_32_0.01_4_0.0002.csv,0.437246963562753,0.4520930232558139,0.4233449477351916,zefiro,instructed,4bit_FT,7,4bit,FT,8,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_32_32_0.01_4_0.0002.csv,torch.bfloat16,32.0,32.0,0.01,4.0,0.0002
60,data/zefiro/4bit_FT/maxNewTokensFactor4_nShotsInference0_zefiro-7b-base-ita__adapters_it.layer1_4_torch.bfloat16_32_32_0.01_2_0.0002.csv,0.4617139133268165,0.5209558823529412,0.414569923932124,zefiro,instructed,4bit_FT,7,4bit,FT,4,0,zefiro-7b-base-ita_,it.layer1_4_torch.bfloat16_32_32_0.01_2_0.0002.csv,torch.bfloat16,32.0,32.0,0.01,2.0,0.0002
